Date,tweet_count
2016-05-29,7
2016-05-30,3
2016-05-31,7
2016-06-01,14
2016-06-02,19
2016-06-03,15
2016-06-04,25
2016-06-05,23
2016-06-06,15
2016-06-07,19
2016-06-08,18
2016-06-09,18
2016-06-10,22
2016-06-11,22
2016-06-12,20
2016-06-13,22
2016-06-15,9
2016-06-14,14
2016-06-16,14
2016-06-17,15
2016-06-18,20
2016-06-19,28
2016-06-20,14
2016-06-21,13
2016-06-22,19
2016-06-23,31
2016-06-25,22
2016-06-24,29
2016-06-26,37
2016-06-27,20
2016-06-29,12
2016-06-28,10
2016-06-30,11
2016-07-01,25
2016-07-02,33
2016-07-03,21
2016-07-04,20
2016-07-05,15
2016-07-06,22
2016-07-07,19
2016-07-08,21
2016-07-09,30
2016-07-10,20
2016-07-11,18
2016-07-12,14
2016-07-13,16
2016-07-14,22
2016-07-15,19
2016-07-16,27
2016-07-17,38
2016-07-18,17
2016-07-19,7
2016-07-20,12
2016-07-22,17
2016-07-21,13
2016-07-23,16
2016-07-24,24
2016-07-25,15
2016-07-26,17
2016-07-27,23
2016-07-28,24
2016-07-29,24
2016-07-30,16
2016-07-31,25
2016-08-02,23
2016-08-01,19
2016-08-03,17
2016-08-04,15
2016-08-05,7
2016-08-06,27
2016-08-07,33
2016-08-08,25
2016-08-09,16
2016-08-10,14
2016-08-11,18
2016-08-12,15
2016-08-13,31
2016-08-14,24
2016-08-15,29
2016-08-16,20
2016-08-17,14
2016-08-18,15
2016-08-19,21
2016-08-20,20
2016-08-21,11
2016-08-22,17
2016-08-23,15
2016-08-24,10
2016-08-25,10
2016-08-26,10
2016-08-27,14
2016-08-28,18
2016-08-29,21
2016-08-30,17
2016-08-31,18
2016-09-02,20
2016-09-01,16
2016-09-03,23
2016-09-04,27
2016-09-05,18
2016-09-06,18
2016-09-07,20
2016-09-08,18
2016-09-10,19
2016-09-09,17
2016-09-11,25
2016-09-12,28
2016-09-13,21
2016-09-14,15
2016-09-15,22
2016-09-16,15
2016-09-17,14
2016-09-18,28
2016-09-19,20
2016-09-20,13
2016-09-21,9
2016-09-23,8
2016-09-22,19
2016-09-24,26
2016-09-25,18
2016-09-26,10
2016-09-27,17
2016-09-28,14
2016-09-29,14
2016-09-30,11
2016-10-01,18
2016-10-02,15
2016-10-03,21
2016-10-04,17
2016-10-05,22
2016-10-06,10
2016-10-07,15
2016-10-08,31
2016-10-09,23
2016-10-10,21
2016-10-11,9
2016-10-12,10
2016-10-13,17
2016-10-14,14
2016-10-15,14
2016-10-16,23
2016-10-17,8
2016-10-18,11
2016-10-19,12
2016-10-20,21
2016-10-21,13
2016-10-22,18
2016-10-23,16
2016-10-24,4
2016-10-25,9
2016-10-26,12
2016-10-27,14
2016-10-28,15
2016-10-29,22
2016-10-30,30
